measure_date,relative_hour,value
2026-05-30 20:00:00,0.0,394.4
2026-05-30 20:05:00,0.083,396.5
2026-05-30 20:10:00,0.167,401.79999999999995
2026-05-30 20:15:00,0.25,405.7
2026-05-30 20:20:00,0.333,403.8
2026-05-30 20:25:00,0.417,408.15
2026-05-30 20:30:00,0.5,409.5
2026-05-30 20:35:00,0.583,412.1
2026-05-30 20:40:00,0.667,416.15
2026-05-30 20:45:00,0.75,418.0
2026-05-30 20:50:00,0.833,415.1
2026-05-30 20:55:00,0.917,415.0
2026-05-30 21:00:00,1.0,413.6
2026-05-30 21:05:00,1.083,414.8
2026-05-30 21:10:00,1.167,414.3
2026-05-30 21:15:00,1.25,418.9
2026-05-30 21:20:00,1.333,422.5
2026-05-30 21:25:00,1.417,420.35
2026-05-30 21:30:00,1.5,419.0
2026-05-30 21:35:00,1.583,417.04999999999995
2026-05-30 21:40:00,1.667,415.85
2026-05-30 21:45:00,1.75,414.7
2026-05-30 21:50:00,1.833,419.0
2026-05-30 21:55:00,1.917,422.9
2026-05-30 22:00:00,2.0,421.9
2026-05-30 22:05:00,2.083,425.3
2026-05-30 22:10:00,2.167,429.5
2026-05-30 22:15:00,2.25,429.5
2026-05-30 22:20:00,2.333,428.3
2026-05-30 22:25:00,2.417,430.0
2026-05-30 22:30:00,2.5,437.0
2026-05-30 22:35:00,2.583,438.6
2026-05-30 22:40:00,2.667,442.8
2026-05-30 22:45:00,2.75,442.8
2026-05-30 22:50:00,2.833,447.9
2026-05-30 22:55:00,2.917,441.9
2026-05-30 23:00:00,3.0,439.7
2026-05-30 23:05:00,3.083,446.5
2026-05-30 23:10:00,3.167,448.79999999999995
2026-05-30 23:15:00,3.25,444.6
2026-05-30 23:20:00,3.333,443.55
2026-05-30 23:25:00,3.417,441.3
2026-05-30 23:30:00,3.5,440.6
2026-05-30 23:35:00,3.583,445.2
2026-05-30 23:40:00,3.667,443.54999999999995
2026-05-30 23:45:00,3.75,438.5
2026-05-30 23:50:00,3.833,444.95000000000005
2026-05-30 23:55:00,3.917,444.1
2026-05-31 00:00:00,4.0,447.8
2026-05-31 00:05:00,4.083,448.8
2026-05-31 00:10:00,4.167,446.75
2026-05-31 00:15:00,4.25,446.3
2026-05-31 00:20:00,4.333,447.4
2026-05-31 00:25:00,4.417,451.85
2026-05-31 00:30:00,4.5,453.0
2026-05-31 00:35:00,4.583,454.35
2026-05-31 00:40:00,4.667,453.5
2026-05-31 00:45:00,4.75,455.3
2026-05-31 00:50:00,4.833,459.05
2026-05-31 00:55:00,4.917,460.3
2026-05-31 01:00:00,5.0,461.9
2026-05-31 01:05:00,5.083,464.5
2026-05-31 01:10:00,5.167,466.9
2026-05-31 01:15:00,5.25,465.15
2026-05-31 01:20:00,5.333,464.4
2026-05-31 01:25:00,5.417,466.0
2026-05-31 01:30:00,5.5,464.75
2026-05-31 01:35:00,5.583,468.5
2026-05-31 01:40:00,5.667,471.1
2026-05-31 01:45:00,5.75,476.1
2026-05-31 01:50:00,5.833,479.9
2026-05-31 01:55:00,5.917,483.5
2026-05-31 02:00:00,6.0,487.3
2026-05-31 02:05:00,6.083,486.75
2026-05-31 02:10:00,6.167,493.3
2026-05-31 02:15:00,6.25,494.7
2026-05-31 02:20:00,6.333,495.7
2026-05-31 02:25:00,6.417,489.9
2026-05-31 02:30:00,6.5,493.9
2026-05-31 02:35:00,6.583,496.1
2026-05-31 02:40:00,6.667,494.8
2026-05-31 02:45:00,6.75,501.8
2026-05-31 02:50:00,6.833,503.5
2026-05-31 02:55:00,6.917,503.0
2026-05-31 03:00:00,7.0,504.6
2026-05-31 03:05:00,7.083,504.2
2026-05-31 03:10:00,7.167,502.75
2026-05-31 03:15:00,7.25,505.5
2026-05-31 03:20:00,7.333,511.4
2026-05-31 03:25:00,7.417,513.0
2026-05-31 03:30:00,7.5,514.7
2026-05-31 03:35:00,7.583,517.3
2026-05-31 03:40:00,7.667,517.65
2026-05-31 03:45:00,7.75,519.0
2026-05-31 03:50:00,7.833,521.3
2026-05-31 03:55:00,7.917,522.8
2026-05-31 04:00:00,8.0,528.4
2026-05-31 04:05:00,8.083,538.9
2026-05-31 04:10:00,8.167,540.35
2026-05-31 04:15:00,8.25,538.4
2026-05-31 04:20:00,8.333,539.7
2026-05-31 04:25:00,8.417,535.3
2026-05-31 04:30:00,8.5,533.9
2026-05-31 04:35:00,8.583,540.8
2026-05-31 04:40:00,8.667,545.7
2026-05-31 04:45:00,8.75,552.2
2026-05-31 04:50:00,8.833,552.9
2026-05-31 04:55:00,8.917,553.3
2026-05-31 05:00:00,9.0,547.4
2026-05-31 05:05:00,9.083,548.1
2026-05-31 05:10:00,9.167,553.7
2026-05-31 05:15:00,9.25,555.7
2026-05-31 05:20:00,9.333,560.45
2026-05-31 05:25:00,9.417,559.2
2026-05-31 05:30:00,9.5,566.8
2026-05-31 05:35:00,9.583,565.05
2026-05-31 05:40:00,9.667,567.6
2026-05-31 05:45:00,9.75,567.8
2026-05-31 05:50:00,9.833,562.3
2026-05-31 05:55:00,9.917,568.0
2026-05-31 06:00:00,10.0,575.9
2026-05-31 06:05:00,10.083,574.25
2026-05-31 06:10:00,10.167,580.7
2026-05-31 06:15:00,10.25,579.8
2026-05-31 06:20:00,10.333,585.6
2026-05-31 06:25:00,10.417,585.6
2026-05-31 06:30:00,10.5,586.15
2026-05-31 06:35:00,10.583,584.95
2026-05-31 06:40:00,10.667,586.6
2026-05-31 06:45:00,10.75,592.7
2026-05-31 06:50:00,10.833,595.0
2026-05-31 06:55:00,10.917,595.9
2026-05-31 07:00:00,11.0,599.9000000000001
2026-05-31 07:05:00,11.083,599.8
2026-05-31 07:10:00,11.167,606.3
2026-05-31 07:15:00,11.25,605.3
2026-05-31 07:20:00,11.333,607.25
2026-05-31 07:25:00,11.417,609.0
2026-05-31 07:30:00,11.5,610.7
2026-05-31 07:35:00,11.583,614.65
2026-05-31 07:40:00,11.667,616.9
2026-05-31 07:45:00,11.75,614.3
2026-05-31 07:50:00,11.833,618.7
2026-05-31 07:55:00,11.917,616.6
2026-05-31 08:00:00,12.0,619.2
2026-05-31 08:05:00,12.083,622.1
2026-05-31 08:10:00,12.167,622.4
2026-05-31 08:15:00,12.25,620.35
2026-05-31 08:20:00,12.333,617.1
2026-05-31 08:25:00,12.417,620.9
2026-05-31 08:30:00,12.5,620.3
2026-05-31 08:35:00,12.583,616.1
2026-05-31 08:40:00,12.667,619.85
2026-05-31 08:45:00,12.75,620.0
2026-05-31 08:50:00,12.833,624.6
2026-05-31 08:55:00,12.917,626.8499999999999
2026-05-31 09:00:00,13.0,630.9
2026-05-31 09:05:00,13.083,628.0
2026-05-31 09:10:00,13.167,628.95
2026-05-31 09:25:00,13.417,624.5
2026-05-31 09:30:00,13.5,620.6
2026-05-31 09:40:00,13.667,620.7
2026-05-31 09:45:00,13.75,619.4
2026-05-31 09:50:00,13.833,618.5999999999999
2026-05-31 09:55:00,13.917,623.2
